Rank,Symbol,Company Name,"Average market capitalisation from July  01, 2024 to December 31, 2024 (Rs. In lakhs)"
1078,PLATIND,PLATINUM INDUSTRIES LIMITED,"2,10,448.31"
1079,ANDHRAPAP,ANDHRA PAPER LIMITED,"2,10,316.75"
1080,CANTABIL,CANTABIL RETAIL INDIA LIMITED,"2,10,261.72"
1081,GOCLCORP,GOCL CORPORATION LIMITED,"2,10,191.49"
1082,SURAKSHA,SURAKSHA DIAGNOSTIC LIMITED,"2,10,116.75"
1083,UNIPARTS,UNIPARTS INDIA LIMITED,"2,09,633.95"
1084,SBGLP,SURATWWALA BUSINESS GROUP LIMITED,"2,09,616.57"
1085,NAVKARCORP,NAVKAR CORPORATION LIMITED,"2,09,573.11"
1086,HIL,HIL LIMITED,"2,09,290.47"
1087,SESHAPAPER,SESHASAYEE PAPER AND BOARDS LIMITED,"2,08,640.42"
1088,BLKASHYAP,B. L. KASHYAP AND SONS LIMITED,"2,08,240.72"
1089,DLINKINDIA,D-LINK (INDIA) LIMITED,"2,08,139.86"
1090,SATIN,SATIN CREDITCARE NETWORK LIMITED,"2,07,973.43"
1091,IFGLEXPOR,IFGL REFRACTORIES LIMITED,"2,07,453.86"
1092,EKC,EVEREST KANTO CYLINDER LIMITED,"2,07,345.37"
1093,ALICON,ALICON CASTALLOY LIMITED,"2,06,632.23"
1094,SANGAMIND,SANGAM (INDIA) LIMITED,"2,05,211.33"
1095,TAJGVK,TAJ GVK HOTELS & RESORTS LIMITED,"2,05,046.58"
1096,TALBROAUTO,TALBROS AUTOMOTIVE COMPONENTS LIMITED,"2,04,702.79"
1097,UNIECOM,UNICOMMERCE ESOLUTIONS LIMITED,"2,04,600.27"
1098,MICEL,MIC ELECTRONICS LIMITED,"2,04,086.17"
1099,EXPLEOSOL,EXPLEO SOLUTIONS LIMITED,"2,03,696.14"
1100,BLSE,BLS E-SERVICES LIMITED,"2,03,476.42"
1101,VERANDA,VERANDA LEARNING SOLUTIONS LIMITED,"1,99,868.41"
1102,AWHCL,ANTONY WASTE HANDLING CELL LIMITED,"1,99,791.74"
1103,JAGRAN,JAGRAN PRAKASHAN LIMITED,"1,99,473.75"
1104,DIVGIITTS,DIVGI TORQTRANSFER SYSTEMS LIMITED,"1,97,427.96"
1105,JINDRILL,JINDAL DRILLING AND INDUSTRIES LIMITED,"1,95,292.16"
1106,HARIOMPIPE,HARIOM PIPE INDUSTRIES LIMITED,"1,95,153.47"
1107,MBAPL,MADHYA BHARAT AGRO PRODUCTS LIMITED,"1,94,570.33"
1108,YATRA,YATRA ONLINE LIMITED,"1,94,334.60"
1109,SHRIRAMPPS,SHRIRAM PROPERTIES LIMITED,"1,94,255.58"
1110,VERTOZ,VERTOZ LIMITED,"1,91,917.50"
1111,MASTERTR,MASTER TRUST LIMITED,"1,91,320.66"
1112,WINDLAS,WINDLAS BIOTECH LIMITED,"1,90,028.03"
1113,JPASSOCIAT,JAIPRAKASH ASSOCIATES LIMITED,"1,89,908.19"
1114,GMBREW,GM BREWERIES LIMITED,"1,89,818.41"
1115,UDAICEMENT,UDAIPUR CEMENT WORKS LIMITED,"1,89,411.91"
1116,WEL,WONDER ELECTRICALS LIMITED,"1,89,317.62"
1117,STERTOOLS,STERLING TOOLS LIMITED,"1,88,874.94"
1118,WHEELS,WHEELS INDIA LIMITED,"1,88,708.47"
1119,RAMASTEEL,RAMA STEEL TUBES LIMITED,"1,88,616.10"
1120,ROSSTECH,ROSSELL TECHSYS LIMITED,"1,87,163.00"
1121,BSHSL,BOMBAY SUPER HYBRID SEEDS LIMITED,"1,86,314.23"
1122,RELTD,RAVINDRA ENERGY LIMITED,"1,86,293.09"
1123,GPTINFRA,GPT INFRAPROJECTS LIMITED,"1,86,167.25"
1124,SIRCA,SIRCA PAINTS INDIA LIMITED,"1,85,732.23"
1125,GKWLIMITED,GKW LIMITED,"1,85,729.31"
1126,CAMLINFINE,CAMLIN FINE SCIENCES LIMITED,"1,85,538.45"
1127,IGPL,IG PETROCHEMICALS LIMITED,"1,84,976.11"
1128,DANISH,DANISH POWER LIMITED,"1,84,756.30"
1129,SALZERELEC,SALZER ELECTRONICS LIMITED,"1,84,733.81"
1130,GRPLTD,GRP LIMITED,"1,83,137.94"
1131,ROTO,ROTO PUMPS LIMITED,"1,82,903.46"
1132,SYNCOMF,SYNCOM FORMULATIONS (INDIA) LIMITED,"1,82,712.87"
1133,SIGACHI,SIGACHI INDUSTRIES LIMITED,"1,82,431.59"
1134,DPSCLTD,DPSC LIMITED,"1,82,121.08"
1135,MUFIN,MUFIN GREEN FINANCE LIMITED,"1,81,549.99"
1136,HERANBA,HERANBA INDUSTRIES LIMITED,"1,81,164.94"
1137,EXCELINDUS,EXCEL INDUSTRIES LIMITED,"1,81,053.58"
1138,GNA,GNA AXLES LIMITED,"1,80,968.31"
1139,SUYOG,SUYOG TELEMATICS LIMITED,"1,80,816.80"
1140,SURYODAY,SURYODAY SMALL FINANCE BANK LIMITED,"1,80,591.50"
1141,RIIL,RELIANCE INDUSTRIAL INFRASTRUCTURE LIMITED,"1,80,118.79"
1142,ATULAUTO,ATUL AUTO LIMITED,"1,79,178.34"
1143,GTPL,GTPL HATHWAY LIMITED,"1,77,814.60"
1144,SADHNANIQ,SADHANA NITROCHEM LIMITED,"1,77,644.57"
1145,ADORWELD,ADOR WELDING LIMITED,"1,77,528.63"
1146,PANACEABIO,PANACEA BIOTEC LIMITED,"1,77,457.02"
1147,SAHASRA,SAHASRA ELECTRONIC SOLUTIONS LIMITED,"1,77,087.26"
1148,AGARIND,AGARWAL INDUSTRIAL CORPORATION LIMITED,"1,76,202.75"
1149,DSSL,DYNACONS SYSTEMS & SOLUTIONS LIMITED,"1,74,272.54"
1150,GODAVARIB,GODAVARI BIOREFINERIES LIMITED,"1,73,377.51"
1151,BIGBLOC,BIGBLOC CONSTRUCTION LIMITED,"1,73,372.03"
1152,HIRECT,HIND RECTIFIERS LIMITED,"1,72,809.95"
1153,SWELECTES,SWELECT ENERGY SYSTEMS LIMITED,"1,72,294.83"
1154,DCMSRIND,DCM SHRIRAM INDUSTRIES LIMITED,"1,72,089.94"
1155,BCG,BRIGHTCOM GROUP LIMITED  ,"1,71,792.42"
1156,WALCHANNAG,WALCHANDNAGAR INDUSTRIES LIMITED,"1,71,332.97"
1157,IRMENERGY,IRM ENERGY LIMITED,"1,71,075.14"
1158,BHARATWIRE,BHARAT WIRE ROPES LIMITED,"1,70,803.20"
1159,PENINLAND,PENINSULA LAND LIMITED,"1,70,632.04"
1160,INDNIPPON,INDIA NIPPON ELECTRICALS LIMITED,"1,69,604.04"
1161,KOKUYOCMLN,KOKUYO CAMLIN LIMITED,"1,69,341.32"
1162,ARMANFIN,ARMAN FINANCIAL SERVICES LIMITED,"1,69,134.90"
1163,MADRASFERT,MADRAS FERTILIZERS LIMITED,"1,68,551.34"
1164,ZOTA,ZOTA HEALTH CARE LIMITED,"1,68,371.14"
1165,BOROSCI,BOROSIL SCIENTIFIC LIMITED,"1,67,762.34"
1166,SPIC,SOUTHERN PETROCHEMICALS INDUSTRIES CORPORATION  LIMITED,"1,67,209.40"
1167,OAL,ORIENTAL AROMATICS LIMITED,"1,67,160.25"
1168,NDRAUTO,NDR AUTO COMPONENTS LIMITED,"1,66,776.65"
1169,HIMATSEIDE,HIMATSINGKA SEIDE LIMITED,"1,66,499.68"
1170,HITECHGEAR,THE HI-TECH GEARS LIMITED,"1,66,244.47"
1171,OMINFRAL,OM INFRA LIMITED,"1,66,075.92"
1172,BETA,BETA DRUGS LIMITED,"1,65,434.53"
1173,TEXINFRA,TEXMACO INFRASTRUCTURE & HOLDINGS LIMITED,"1,64,703.62"
1174,AMNPLST,AMINES & PLASTICIZERS LIMITED,"1,64,266.14"
1175,MANGCHEFER,MANGALORE CHEMICALS & FERTILIZERS LIMITED,"1,63,771.01"
1176,DYCL,DYNAMIC CABLES LIMITED,"1,63,176.17"
1177,BCLIND,BCL INDUSTRIES LIMITED,"1,63,063.86"
1178,RML,RANE (MADRAS) LIMITED,"1,62,899.55"
1179,MSPL,MSP STEEL & POWER LIMITED,"1,62,897.79"
1180,ASALCBR,ASSOCIATED ALCOHOLS & BREWERIES LIMITED,"1,62,789.64"
1181,EVERESTIND,EVEREST INDUSTRIES LIMITED,"1,62,040.44"
1182,CEWATER,CONCORD ENVIRO SYSTEMS LIMITED,"1,60,419.95"
1183,MONTECARLO,MONTE CARLO FASHIONS LIMITED,"1,60,133.39"
1184,TFCILTD,TOURISM FINANCE CORPORATION OF INDIA LIMITED,"1,59,057.96"
1185,ALLDIGI,ALLDIGI TECH LIMITED,"1,58,720.17"
1186,BUTTERFLY,BUTTERFLY GANDHIMATHI APPLIANCES LIMITED,"1,58,581.33"
1187,EIMCOELECO,EIMCO ELECON (INDIA) LIMITED,"1,57,719.69"
1188,SMCGLOBAL,SMC GLOBAL SECURITIES LIMITED,"1,57,646.37"
1189,5PAISA,5PAISA CAPITAL LIMITED,"1,57,536.54"
1190,MATRIMONY,MATRIMONY.COM LIMITED,"1,57,107.72"
1191,YUKEN,YUKEN INDIA LIMITED,"1,56,426.21"
1192,IMPAL,INDIA MOTOR PARTS AND ACCESSORIES LIMITED,"1,56,064.03"
1193,LIKHITHA,LIKHITHA INFRASTRUCTURE LIMITED,"1,55,986.87"
1194,KABRAEXTRU,KABRA EXTRUSION TECHNIK LIMITED,"1,54,742.31"
1195,SUBEXLTD,SUBEX LIMITED,"1,54,379.98"
1196,FAIRCHEMOR,FAIRCHEM ORGANICS LIMITED,"1,54,212.12"
1197,SPORTKING,SPORTKING INDIA LIMITED,"1,53,657.35"
1198,TECHLABS,TRIDENT TECHLABS LIMITED,"1,53,646.90"
1199,TBZ,TRIBHOVANDAS BHIMJI ZAVERI LIMITED,"1,51,578.71"
1200,STEELCAS,STEELCAST LIMITED,"1,51,145.33"
1201,WINDMACHIN,WINDSOR MACHINES LIMITED,"1,50,422.45"
1202,CENTRUM,CENTRUM CAPITAL LIMITED,"1,50,359.52"
1203,VINCOFE,VINTAGE COFFEE AND BEVERAGES LIMITED,"1,49,963.23"
1204,ARIHANTSUP,ARIHANT SUPERSTRUCTURES LIMITED,"1,49,856.83"
1205,DVL,DHUNSERI VENTURES LIMITED,"1,49,793.37"
1206,CLSEL,CHAMAN LAL SETIA EXPORTS LIMITED,"1,49,573.25"
1207,HEXATRADEX,HEXA TRADEX LIMITED,"1,48,397.10"
1208,TNPL,TAMIL NADU NEWSPRINT & PAPERS LIMITED,"1,47,972.37"
1209,RICOAUTO,RICO AUTO INDUSTRIES LIMITED,"1,47,760.32"
1210,MAMATA,MAMATA MACHINERY LIMITED,"1,47,406.46"
1211,RAMCOSYS,RAMCO SYSTEMS LIMITED,"1,47,084.59"
1212,SHANKARA,SHANKARA BUILDING PRODUCTS LIMITED,"1,46,949.66"
1213,ORIENTTECH,ORIENT TECHNOLOGIES LIMITED,"1,46,631.27"
1214,PVSL,POPULAR VEHICLES AND SERVICES LIMITED,"1,45,979.93"
1215,PUNJABCHEM,PUNJAB CHEMICALS & CROP PROTECTION LIMITED,"1,45,802.59"
1216,ASIANENE,ASIAN ENERGY SERVICES LIMITED,"1,45,758.90"
1217,GPTHEALTH,GPT HEALTHCARE LIMITED,"1,45,707.55"
1218,ANDHRSUGAR,THE ANDHRA SUGARS LIMITED,"1,45,429.04"
1219,SOLEX,SOLEX ENERGY LIMITED,"1,45,380.06"
1220,KRISHANA,KRISHANA PHOSCHEM LIMITED,"1,45,002.09"
1221,AGIIL,AGI INFRA LIMITED,"1,44,897.46"
1222,KELLTONTEC,KELLTON TECH SOLUTIONS LIMITED,"1,44,264.93"
1223,JGCHEM,J.G.CHEMICALS LIMITED,"1,44,000.76"
1224,RISHABH,RISHABH INSTRUMENTS LIMITED,"1,43,819.18"
1225,ACLGATI,ALLCARGO GATI LIMITED,"1,43,639.48"
1226,CENTENKA,CENTURY ENKA LIMITED,"1,43,466.29"
1227,VIMTALABS,VIMTA LABS LIMITED,"1,43,453.99"
1228,KAMDHENU,KAMDHENU LIMITED,"1,43,167.04"
1229,VASCONEQ,VASCON ENGINEERS LIMITED,"1,43,125.25"
1230,BESTAGRO,BEST AGROLIFE LIMITED,"1,43,035.76"
1231,REMUS,REMUS PHARMACEUTICALS LIMITED,"1,42,286.02"
1232,ADSL,ALLIED DIGITAL SERVICES LIMITED,"1,41,691.90"
1233,SHREDIGCEM,SHREE DIGVIJAY CEMENT CO.LIMITED,"1,41,675.38"
1234,KERNEX,KERNEX MICROSYSTEMS (INDIA) LIMITED,"1,41,273.75"
1235,LINCOLN,LINCOLN PHARMACEUTICALS LIMITED,"1,41,260.69"
1236,SPCENET,SPACENET ENTERPRISES INDIA LIMITED,"1,40,967.45"
1237,WEALTH,WEALTH FIRST PORTFOLIO MANAGERS LIMITED,"1,40,910.22"
1238,SIGNPOST,SIGNPOST INDIA LIMITED,"1,40,351.43"
1239,ONEPOINT,ONE POINT ONE SOLUTIONS LIMITED,"1,40,341.69"
1240,VLEGOV,VL E GOVERNANCE & IT SOLUTIONS LIMITED,"1,39,244.60"
1241,MACPOWER,MACPOWER CNC MACHINES LIMITED,"1,39,014.39"
1242,HERCULES,HERCULES HOISTS LIMITED,"1,38,613.82"
1243,VHL,VARDHMAN HOLDINGS LIMITED,"1,37,977.17"
1244,TVTODAY,TV TODAY NETWORK LIMITED,"1,37,840.56"
1245,MANALIPETC,MANALI PETROCHEMICALS LIMITED,"1,37,367.46"
1246,CAPITALSFB,CAPITAL SMALL FINANCE BANK LIMITED,"1,36,860.67"
1247,BLISSGVS,BLISS GVS PHARMA LIMITED,"1,36,730.48"
1248,ESTER,ESTER INDUSTRIES LIMITED,"1,36,479.63"
1249,WCIL,WESTERN CARRIERS (INDIA) LIMITED,"1,35,373.09"
1250,CHEMFAB,CHEMFAB ALKALIS LIMITED,"1,35,213.69"
1251,GRMOVER,GRM OVERSEAS LIMITED,"1,34,690.43"
1252,SAURASHCEM,SAURASHTRA CEMENT LIMITED,"1,34,589.61"
1253,RGL,RENAISSANCE GLOBAL LIMITED,"1,34,234.32"
1254,KROSS,KROSS LIMITED,"1,34,197.36"
1255,SPMLINFRA,SPML INFRA LIMITED,"1,32,645.61"
1256,DHAMPURSUG,DHAMPUR SUGAR MILLS LIMITED,"1,32,601.52"
1257,NGLFINE,NGL FINE-CHEM LIMITED,"1,32,480.69"
1258,XCHANGING,XCHANGING SOLUTIONS LIMITED,"1,32,298.99"
1259,KECL,KIRLOSKAR ELECTRIC COMPANY LIMITED,"1,32,042.82"
1260,CREST,CREST VENTURES LIMITED,"1,32,025.84"
1261,KOPRAN,KOPRAN LIMITED,"1,31,942.55"
1262,SELAN,SELAN EXPLORATION TECHNOLOGY LIMITED,"1,31,128.83"
1263,MUKKA,MUKKA PROTEINS LIMITED,"1,30,650.71"
1264,AVADHSUGAR,AVADH SUGAR & ENERGY LIMITED,"1,30,596.52"
1265,HLVLTD,HLV LIMITED,"1,30,265.05"
1266,SATINDLTD,SAT INDUSTRIES LIMITED,"1,30,055.29"
1267,AVTNPL,AVT NATURAL PRODUCTS LIMITED,"1,29,635.50"
1268,RAJRILTD,RAJ RAYON INDUSTRIES LIMITED,"1,29,630.77"
1269,PPL,PRAKASH PIPES LIMITED,"1,29,232.01"
1270,VLSFINANCE,VLS FINANCE LIMITED,"1,28,383.32"
1271,DWARKESH,DWARIKESH SUGAR INDUSTRIES LIMITED,"1,27,920.08"
1272,SNOWMAN,SNOWMAN LOGISTICS LIMITED,"1,27,892.47"
1273,RKSWAMY,R K SWAMY LIMITED,"1,27,457.76"
1274,PDMJEPAPER,PUDUMJEE PAPER PRODUCTS LIMITED,"1,27,340.53"
1275,GULPOLY,GULSHAN POLYOLS LIMITED,"1,26,992.90"
1276,JAGSNPHARM,JAGSONPAL PHARMACEUTICALS LIMITED,"1,26,585.95"
1277,INDOAMIN,INDO AMINES LIMITED,"1,26,449.38"
1278,SANDESH,THE SANDESH LIMITED,"1,26,373.83"
1279,ASAL,AUTOMOTIVE STAMPINGS AND ASSEMBLIES LIMITED,"1,25,747.44"
1280,CONTROLPR,CONTROL PRINT LIMITED,"1,25,423.18"
1281,SAHANA,SAHANA SYSTEM LIMITED,"1,25,185.24"
1282,ELECTHERM,ELECTROTHERM (INDIA) LIMITED,"1,24,908.70"
1283,SIMPLEXINF,SIMPLEX INFRASTRUCTURES LIMITED,"1,24,520.06"
1284,OSWALGREEN,OSWAL GREENTECH LIMITED,"1,24,422.00"
1285,STEELXIND,STEEL EXCHANGE INDIA LIMITED,"1,24,418.27"
1286,KUANTUM,KUANTUM PAPERS LIMITED,"1,24,274.77"
1287,GICHSGFIN,GIC HOUSING FINANCE LIMITED,"1,24,201.24"
1288,GALAPREC,GALA PRECISION ENGINEERING LIMITED,"1,24,043.12"
1289,UTTAMSUGAR,UTTAM SUGAR MILLS LIMITED,"1,23,333.84"
1290,ICEMAKE,ICE MAKE REFRIGERATION LIMITED,"1,23,291.89"
1291,HEUBACHIND,HEUBACH COLORANTS INDIA LIMITED,"1,23,130.49"
1292,RADHIKAJWE,RADHIKA JEWELTECH LIMITED,"1,22,361.22"
1293,NDTV,NEW DELHI TELEVISION LIMITED,"1,22,250.06"
1294,DIFFNKG,DIFFUSION ENGINEERS LIMITED,"1,22,226.49"
1295,KSOLVES,KSOLVES INDIA LIMITED,"1,22,079.07"
1296,ARROWGREEN,ARROW GREENTECH LIMITED,"1,21,141.11"
1297,MVGJL,MANOJ VAIBHAV GEMS N JEWELLERS LIMITED,"1,20,500.63"
1298,MUFTI,CREDO BRANDS MARKETING LIMITED,"1,19,953.78"
1299,DHUNINV,DHUNSERI INVESTMENTS LIMITED,"1,19,699.90"
1300,MAXIND,MAX INDIA LIMITED,"1,19,344.87"
1301,PAKKA,PAKKA LIMITED,"1,19,017.55"
1302,ROSSELLIND,ROSSELL INDIA LIMITED,"1,18,893.82"
1303,CREATIVE,CREATIVE NEWTECH LIMITED,"1,18,752.91"
1304,KOTHARIPET,KOTHARI PETROCHEMICALS LIMITED,"1,18,215.18"
1305,APTECHT,APTECH LIMITED,"1,18,176.92"
1306,INDORAMA,INDO RAMA SYNTHETICS (INDIA) LIMITED,"1,17,955.38"
1307,HARDWYN,HARDWYN INDIA LIMITED,"1,16,641.93"
1308,NACLIND,NACL INDUSTRIES LIMITED,"1,16,311.71"
1309,C2C,C2C ADVANCED SYSTEMS LIMITED,"1,16,007.66"
1310,SRHHYPOLTD,SREE RAYALASEEMA HI-STRENGTH HYPO LIMITED,"1,15,845.58"
1311,NELCAST,NELCAST LIMITED,"1,15,823.45"
1312,UNIENTER,UNIPHOS ENTERPRISES LIMITED,"1,15,138.67"
1313,SATIA,SATIA INDUSTRIES LIMITED,"1,14,231.59"
1314,VILAS,VILAS TRANSCORE LIMITED,"1,13,787.61"
1315,VINYAS,VINYAS INNOVATIVE TECHNOLOGIES LIMITED,"1,12,927.94"
1316,MUNJALAU,MUNJAL AUTO INDUSTRIES LIMITED,"1,11,721.11"
1317,FAZE3Q,FAZE THREE LIMITED,"1,11,707.20"
1318,ANUHPHR,ANUH PHARMA LIMITED,"1,09,923.54"
1319,BAJAJHCARE,BAJAJ HEALTHCARE LIMITED,"1,09,859.03"
1320,ATL,ALLCARGO TERMINALS LIMITED,"1,09,809.71"
1321,MAGADSUGAR,MAGADH SUGAR & ENERGY LIMITED,"1,09,755.23"
1322,BLAL,BEML LAND ASSETS LIMITED,"1,09,538.16"
1323,ELIN,ELIN ELECTRONICS LIMITED,"1,09,521.16"
1324,GGBL,GANESH GREEN BHARAT LIMITED,"1,09,198.06"
1325,SHALPAINTS,SHALIMAR PAINTS LIMITED,"1,09,122.10"
1326,JAYBARMARU,JAY BHARAT MARUTI LIMITED,"1,09,021.07"
1327,GANESHBE,GANESH BENZOPLAST LIMITED,"1,08,431.21"
1328,DHARMAJ,DHARMAJ CROP GUARD LIMITED,"1,08,314.94"
1329,AGSTRA,AGS TRANSACT TECHNOLOGIES LIMITED,"1,08,150.58"
1330,BASILIC,BASILIC FLY STUDIO LIMITED,"1,07,964.28"
1331,SUTLEJTEX,SUTLEJ TEXTILES AND INDUSTRIES LIMITED,"1,07,922.62"
1332,TREL,TRANSINDIA REAL ESTATE LIMITED,"1,07,215.87"
1333,NAHARSPING,NAHAR SPINNING MILLS LIMITED,"1,06,956.38"
1334,VALIANTORG,VALIANT ORGANICS LIMITED,"1,06,617.32"
1335,ZEEMEDIA,ZEE MEDIA CORPORATION LIMITED,"1,06,598.36"
1336,ZUARIIND,ZUARI INDUSTRIES LIMITED,"1,05,888.06"
1337,SARTELE,SAR TELEVENTURE LIMITED,"1,05,107.59"
1338,INFOBEAN,INFOBEANS TECHNO. LIMITED,"1,05,076.85"
1339,AIMTRON,AIMTRON ELECTRONICS LIMITED,"1,04,995.27"
1340,URJA,URJA GLOBAL LIMITED,"1,04,861.73"
1341,STCINDIA,THE STATE TRADING CORPORATION OF INDIA LIMITED,"1,04,637.10"
1342,KRYSTAL,KRYSTAL INTEGRATED SERVICES LIMITED,"1,03,912.51"
1343,GANDHITUBE,GANDHI SPECIAL TUBES LIMITED,"1,03,126.65"
1344,CELLECOR,CELLECOR GADGETS LIMITED,"1,02,318.84"
1345,SSEGL,SATHLOKHAR SYNERGYS E&C GLOBAL LIMITED,"1,02,165.60"
1346,THEINVEST,THE INVESTMENT TRUST OF INDIA LIMITED,"1,01,483.95"
1347,KAMOPAINTS,KAMDHENU VENTURES LIMITED,"1,00,883.01"
1348,SASTASUNDR,SASTASUNDAR VENTURES LIMITED,"1,00,869.83"
1349,DENTALKART,VASA DENTICITY LIMITED,"1,00,788.98"
1350,KRITI,KRITI INDUSTRIES (INDIA) LIMITED,"1,00,560.59"
1351,KRISHNADEF,KRISHNA DEFENCE AND ALLIED INDUSTRIES LIMITED,"1,00,422.52"
1352,ARIHANTCAP,ARIHANT CAPITAL MARKETS LIMITED,"1,00,240.05"
1353,NINSYS,NINTEC SYSTEMS LIMITED,"1,00,218.63"
1354,EMKAYTOOLS,EMKAY TAPS AND CUTTING TOOLS LIMITED,"99,823.70"
1355,AYMSYNTEX,AYM SYNTEX LIMITED,"99,675.34"
1356,NCLIND,NCL INDUSTRIES LIMITED,"99,526.50"
1357,ENIL,ENTERTAINMENT NETWORK (INDIA) LIMITED,"99,204.14"
1358,APS,AUSTRALIAN PREMIUM SOLAR (INDIA) LIMITED,"99,167.73"
1359,RSWM,RSWM LIMITED,"98,910.43"
1360,ASIANTILES,ASIAN GRANITO INDIA LIMITED,"98,441.28"
1361,ORIENTPPR,ORIENT PAPER & INDUSTRIES LIMITED,"98,237.32"
1362,KOTYARK,KOTYARK INDUSTRIES LIMITED,"98,181.38"
1363,BODALCHEM,BODAL CHEMICALS LIMITED,"97,883.43"
1364,DHANBANK,DHANLAXMI BANK LIMITED,"97,396.40"
1365,BIRLAMONEY,ADITYA BIRLA MONEY LIMITED,"97,381.86"
1366,INNOVANA,INNOVANA THINKLABS LIMITED,"97,206.61"
1367,GVKPIL,GVK POWER & INFRASTRUCTURE LIMITED,"96,853.38"
1368,GHCLTEXTIL,GHCL TEXTILES LIMITED,"96,590.73"
1369,SICALLOG,SICAL LOGISTICS LIMITED,"96,417.82"
1370,RATNAVEER,RATNAVEER PRECISION ENGINEERING LIMITED,"96,258.11"
1371,SHIVALIK,SHIVALIK RASAYAN LIMITED,"95,941.32"
1372,AMBIKCO,AMBIKA COTTON MILLS LIMITED,"95,914.08"
1373,GFLLIMITED,GFL LIMITED,"95,849.62"
1374,ROHLTD,ROYAL ORCHID HOTELS LIMITED,"95,400.03"
1375,LINC,LINC LIMITED,"95,058.96"
1376,PRIMESECU,PRIME SECURITIES LIMITED,"94,916.13"
1377,20MICRONS,20 MICRONS LIMITED,"94,708.75"
1378,RUSHIL,RUSHIL DECOR LIMITED,"94,552.25"
1379,SBC,SBC EXPORTS LIMITED,"94,032.41"
1380,RACLGEAR,RACL GEARTECH LIMITED,"93,983.21"
1381,RITCO,RITCO LOGISTICS LIMITED,"93,822.65"
1382,MINDTECK,MINDTECK (INDIA) LIMITED,"93,641.48"
1383,CHEMCON,CHEMCON SPECIALITY CHEMICALS LIMITED,"93,296.16"
1384,ESFL,ESSEN SPECIALITY FILMS LIMITED,"93,236.67"
1385,SARVESHWAR,SARVESHWAR FOODS LIMITED,"93,130.46"
1386,FILATFASH,FILATEX FASHIONS LIMITED,"92,535.99"
1387,ZODIAC,ZODIAC ENERGY LIMITED,"92,452.24"
1388,SILVERTUC,SILVER TOUCH TECHNOLOGIES LIMITED,"92,372.53"
1389,GIRIRAJ,GIRIRAJ CIVIL DEVELOPERS LIMITED,"91,352.77"
1390,CSLFINANCE,CSL FINANCE LIMITED,"91,152.36"
1391,ESSARSHPNG,ESSAR SHIPPING LIMITED,"90,922.45"
1392,MALLCOM,MALLCOM (INDIA) LIMITED,"90,893.33"
1393,TRACXN,TRACXN TECHNOLOGIES LIMITED,"90,829.62"
1394,VHLTD,VICEROY HOTELS LIMITED,"90,738.25"
1395,STEL,STEL HOLDINGS LIMITED,"90,661.88"
1396,GARUDA,GARUDA CONSTRUCTION AND ENGINEERING LIMITED,"90,532.95"
1397,VISAKAIND,VISAKA INDUSTRIES LIMITED,"90,296.40"
1398,JAYAGROGN,JAYANT AGRO ORGANICS LIMITED,"89,879.40"
1399,OSWALAGRO,OSWAL AGRO MILLS LIMITED,"89,870.29"
1400,UGARSUGAR,THE UGAR SUGAR WORKS LIMITED,"89,754.82"
1401,ALLETEC,ALL E TECHNOLOGIES LIMITED,"89,496.74"
1402,ELDEHSG,ELDECO HOUSING AND INDUSTRIES LIMITED,"89,483.19"
1403,JPOLYINVST,JINDAL POLY INVESTMENT AND FINANCE COMPANY LIMITED,"89,410.17"
1404,ZUARI,ZUARI AGRO CHEMICALS LIMITED,"89,129.06"
1405,DBOL,DHAMPUR BIO ORGANICS LIMITED,"88,955.89"
1406,BHAGERIA,BHAGERIA INDUSTRIES LIMITED,"88,857.92"
1407,DECCANCE,DECCAN CEMENTS LIMITED,"88,215.68"
1408,MMP,MMP INDUSTRIES LIMITED,"87,938.81"
1409,ONWARDTEC,ONWARD TECHNOLOGIES LIMITED,"87,741.29"
1410,RUBYMILLS,THE RUBY MILLS LIMITED,"87,356.48"
1411,FOODSIN,FOODS & INNS LIMITED,"86,701.16"
1412,SJLOGISTIC,S J LOGISTICS (INDIA) LIMITED,"85,827.32"
1413,JINDALPHOT,JINDAL PHOTO LIMITED,"85,621.44"
1414,CAREERP,CAREER POINT LIMITED,"85,180.06"
1415,RADIANTCMS,RADIANT CASH MANAGEMENT SERVICES LIMITED,"85,078.47"
1416,ONMOBILE,ONMOBILE GLOBAL LIMITED,"84,993.19"
1417,REPRO,REPRO INDIA LIMITED,"84,975.75"
1418,COFFEEDAY,COFFEE DAY ENTERPRISES LIMITED,"84,911.97"
1419,SHREEPUSHK,SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED,"84,654.85"
1420,GEECEE,GEECEE VENTURES LIMITED,"83,967.98"
1421,VMARCIND,V MARC INDIA LIMITED,"83,753.99"
1422,GSLSU,GLOBAL SURFACES LIMITED,"83,636.89"
1423,SAKUMA,SAKUMA EXPORTS LIMITED,"83,522.57"
1424,HPAL,HP ADHESIVES LIMITED,"83,335.93"
1425,SUKHJITS,SUKHJIT STARCH & CHEMICALS LIMITED,"82,968.29"
1426,TIRUPATI,SHREE TIRUPATI BALAJEE FIBC LIMITED,"82,879.73"
1427,MAANALU,MAAN ALUMINIUM LIMITED,"82,736.45"
1428,GLOSTERLTD,GLOSTER LIMITED,"82,725.92"
1429,LIBERTSHOE,LIBERTY SHOES LIMITED,"82,706.07"
